,continent,location,date,total_vaccinations,people_partially_vaccinated,people_fully_vaccinated
299,Europe,Albania,2022-03-29,2762715.0,1280514.0,1217699.0
300,Europe,Albania,2022-03-31,2766890.0,1281331.0,1218665.0
301,Europe,Albania,2022-04-04,2773475.0,1282785.0,1220014.0
302,Europe,Albania,2022-04-07,2780674.0,1284295.0,1221185.0
303,Europe,Albania,2022-04-11,2787225.0,1285676.0,1222698.0
304,Europe,Albania,2022-04-14,2793310.0,1287062.0,1223943.0
305,Europe,Albania,2022-04-20,2801345.0,1288846.0,1226046.0
306,Europe,Albania,2022-05-01,2825500.0,1299321.0,1230636.0
307,Europe,Albania,2022-05-15,2840948.0,1302093.0,1235781.0
308,Europe,Albania,2022-05-22,2866387.0,1319066.0,1239990.0
309,Europe,Albania,2022-05-29,2873654.0,1320244.0,1241712.0
310,Europe,Albania,2022-06-05,2883079.0,1322864.0,1244383.0
311,Europe,Albania,2022-06-19,2898881.0,1325464.0,1247475.0
312,Europe,Albania,2022-06-26,2906126.0,1326545.0,1248781.0
313,Europe,Albania,2022-07-10,2919443.0,1328497.0,1251391.0
314,Europe,Albania,2022-07-24,2934116.0,1330520.0,1253962.0
315,Europe,Albania,2022-07-31,2940709.0,1331453.0,1255342.0
316,Europe,Albania,2022-08-21,2956198.0,1334091.0,1258792.0
317,Europe,Albania,2022-09-04,2966256.0,1335654.0,1261243.0
318,Europe,Albania,2022-09-18,2974247.0,1336938.0,1262982.0
319,Europe,Albania,2022-09-25,2978248.0,1337562.0,1263870.0
320,Europe,Albania,2022-10-16,2991576.0,1339100.0,1265900.0
321,Europe,Albania,2022-10-23,2996383.0,1339532.0,1266511.0
322,Europe,Albania,2022-11-13,3011499.0,1340678.0,1268200.0
323,Europe,Albania,2022-11-27,3017443.0,1341413.0,1269112.0
324,Europe,Albania,2022-12-11,3025728.0,1342243.0,1270016.0
325,Europe,Albania,2023-01-08,3042696.0,1344067.0,1272309.0
326,Europe,Albania,2023-01-15,3047340.0,1344582.0,1273313.0
327,Europe,Albania,2023-02-05,3058102.0,1345763.0,1274719.0
328,Europe,Albania,2023-03-19,3070468.0,1347054.0,1276432.0
329,Europe,Albania,2023-04-09,3075848.0,1347760.0,1277204.0
330,Europe,Albania,2023-05-14,3080679.0,1348396.0,1277987.0
331,Africa,Algeria,2021-08-20,4146091.0,3421279.0,724812.0
332,Africa,Algeria,2021-09-04,8000000.0,5000000.0,3000000.0
333,Africa,Algeria,2021-09-25,10049978.0,6017036.0,4032942.0
334,Africa,Algeria,2021-10-24,11080739.0,6328806.0,4751933.0
335,Africa,Algeria,2021-10-27,11148720.0,6351998.0,4796722.0
336,Africa,Algeria,2021-10-30,11179354.0,6364327.0,4815027.0
337,Africa,Algeria,2021-11-02,11271319.0,6399209.0,4872110.0
338,Africa,Algeria,2021-11-08,11316115.0,6418827.0,4897288.0
339,Africa,Algeria,2021-11-13,11376816.0,6446373.0,4930443.0
340,Africa,Algeria,2021-11-21,12008974.0,6697263.0,5298544.0
341,Africa,Algeria,2021-11-22,12032500.0,6703364.0,5314016.0
342,Africa,Algeria,2021-11-25,12076870.0,6716299.0,5340231.0
343,Africa,Algeria,2021-11-29,12145830.0,6740064.0,5380385.0
344,Africa,Algeria,2021-11-30,12293060.0,6875003.0,5391232.0
345,Africa,Algeria,2021-12-14,12437324.0,7019879.0,5554702.0
346,Africa,Algeria,2021-12-21,12545356.0,7060737.0,5609040.0
